seller_id,latitude,longitude
f410c8873029fcc3809b9df6d0b28914,-29.178216467446862,-51.14868438613908
ef506c96320abeedfb894c34db06f478,-23.543150156894836,-46.490101309522785
a13aaf2d2886ab9fb30fb9a920160b8f,-26.323116974041856,-48.82953141516658
7299e27ed73d2ad986de7f7c77d919fa,-18.652644433692657,-48.192235480006914
8a9260f2b0340411d6d2a56bcf4f7378,-19.867252389950057,-44.029978433938886
dedcab67899479e4ea5dcc4eba47f587,-26.49158091570477,-49.05208077176976
b2479f944e1b90cf8a5de1bbfde284d6,-21.75732063771276,-48.82974353343716
7722b1df1b0e383e000397b2c11e3e19,-23.715655922883034,-46.54574782914775
731ef20c231d9a7103a425e83fd91271,-27.81772374608259,-50.33075225544473
78813699ffac347fe27dba345a5f1551,-29.175192373228015,-51.56925812204669
3296662b1331dea51e744505065ae889,-21.12241501822202,-48.963318951378405
411f3b52d857390502ee4e4d5ceabc2d,-23.711851451612144,-46.41244149883674
bba3293d6f5d5af2f415e004e8b93ae3,-23.636027323303832,-46.713002500990385
4e7c18b98d84e05cbae3ff0ff03846c2,-21.24564991547182,-48.31790069625641
b56906f7fd1696e043f1bcce164c487b,-22.4299509636415,-50.20543406742506
d650b663c3b5f6fb392b6326366efa9a,-23.628427408330086,-46.87058604050327
669ae81880e08f269a64487cfb287169,-27.214586575753973,-49.63772541794044
c2d70ce2c5d0a2eb75e78668236e6dc8,-23.59383917278593,-46.61645866896797
674207551483fec113276b67b0d871ff,-23.505547950176677,-47.46970526393222
abe42c5d03695b4257b5c6cbf4e6784e,-22.83791177652518,-43.322271046058205
1996942dc085d7773ba77a529b163cd0,-21.35993680296325,-48.07391298482993
79b93a308a97792cf53ac75f46da00b5,-22.985312022606553,-43.20414276378719
7cf4ea70955b00d6b3c22542598e2715,-23.52728844957164,-46.64016432350874
63ffcb71394dd8ea3872ed9ffda17c74,-22.75411758328793,-42.88883553024611
83353a83fd769dfafa4f21a72b15e3e5,-23.63519167113765,-46.77249597850784
cda598c48d7c614bc1cad7d8ff6f0010,-20.821706801126325,-49.492487237585365
d4910f1cdcfdabd48d6b316e395d4a23,-23.6739154838235,-46.5381574228735
709e16e2b25c7474d980076c6bfc4806,-21.294953796324272,-50.34326735573279
9dc79dd988ac42f4d56c340d7048420a,-23.543150156894836,-46.490101309522785
276677b5d08786d5dce7c2149dcce48b,-19.836057733815164,-43.94538236770012
9c4d31c7e46ab03a43fc06e3142afd4e,-22.88659325431333,-43.26783420069855
512d298ac2a96d1931b6bd30aa21f61d,-22.90742646003482,-43.22111290328188
422be4cc81a457fdb46f47edeb968ae5,-21.75732063771276,-48.82974353343716
99cd94252748d2bdde08e17858233602,-22.920186332834536,-45.46440222679634
698624c6632eeba1774924dbea24c700,-23.57289853249542,-46.65924739236762
8bb48dc19fccaa8613b6229bf7f452a2,-22.67568027378032,-50.4375555298538
ad87df7699e83b8a91822a4a0b765c3a,-22.69294884489288,-46.98287754029338
d6b664fa0667064c6d76394e7848d790,-21.790782716262665,-48.185502465188435
98f52e1020fe788c10c0418de4393fec,-22.339397511937925,-41.75630392529992
62760d278921b5f352461620d68a9cee,-23.202746267669983,-47.295866446946924
eb72802c83dc7547529c9546d1a9b8ef,-22.392136581834077,-47.57768122006809
3f9be91358837bff69df67edfa3e42e8,-23.320821130920265,-51.14179623490432
1d4587203296c8f4ad134dc286fa6db0,-23.5048912112042,-46.72658804974733
791cfcfe22fe4a771ece27f90017da92,-21.17953956854023,-47.80859764825491
392f7f2c797e4dc077e4311bde2ab8ce,-22.84373140637614,-43.30242672582638
0c8380b62e38e8a1e6adbeba7eb9688c,-21.69337082687344,-45.25976867138686
37be5a7c751166fbc5f8ccba4119e043,-23.6127344506858,-46.598134183130796
87d73636a3acf123e842bb890a4db036,-20.693537430599775,-50.042499092685674
3d3ccf2b2f8134b10dce9dd446f0e075,-21.75732063771276,-48.82974353343716
e24d3429d294b2eb200b064ebb035879,-23.533798010777907,-46.51787272388276
44073f8b7e41514de3b7815dd0237f4f,-15.832786657811656,-47.94636739374683
05ca864204d09595ae591b93ea9cf93d,-23.498520694082107,-46.85053707630061
9d39404483343dd55c7ae254494d8388,-23.545598238423416,-46.64145267015315
f9eda05b67bef472deaddbba84aca289,-28.357506793762706,-49.288673597165094
75745ef7bc7d4f3ea3380f6f5303f514,-15.827493762553393,-47.92443250257792
0692610d8abe24f287e9fae90ea0bbee,-23.472814658449074,-46.600729145013894
7b07b3c7487f0ea825fc6df75abd658b,-23.50398483876719,-46.6256721599388
99002261c568a84cce14d43fcffb43ea,-15.66015569626835,-56.051496811618414
e5899683388855d3dabe8913bbe365de,-22.033506163362237,-47.908924834284264
784ba75dd9d20200c4caed3d7a77141a,-23.541028179008823,-46.63832469496941
099095b050cfe8eb1ddff5317587e96e,-23.548689156518982,-46.56553813802192
0ad80de75c811326389cfb1daba7d45e,-22.92401542829238,-43.213547671608914
b9a03475e6447e631b6799ec8274800f,-24.296024477069246,-53.3145970174448
ba6b4a237f92479743cf0ca06b67a9ac,-22.930711174851965,-43.68946380025854
ea00f977a203ff88adf7057cb7806998,-23.9378287823699,-46.35659153288517
82e0a475a88cc9595229d8029273f045,-23.53989923712458,-46.54740652791638
ad75519a07f039025e83795a4418470f,-14.43073368841814,-49.7106029180799
34aefe746cd81b7f3b23253ea28bef39,-25.444532403869694,-49.329172989634834
ed4acab38528488b65a9a9c603ff024a,-23.565855116526443,-46.43493844446316
f0837c8d71434931d9e38e7b79234797,-28.87190543829348,-52.180111441190874
fce62094ffe6a4009188ec44e681dfdd,-23.663855154832145,-46.6857921780803
ebef8d8c92b4fd3226e5d407bbff21ac,-21.201064692224882,-47.802366376021745
d73cbd89533ce8b041a9190241453ac8,-21.00463525274551,-42.72034572426051
75a4764c108403a7a0575140cb22287c,-29.173299048379477,-51.15178971474723
70c0fda4c313d87115644d39e62eec60,-8.285133447365824,-35.97077216910167
ffcfefa19b08742c5d315f2791395ee5,-25.425730165257566,-49.253916412231625
26e13b6ff5b641b329e5524241ee2c93,-20.528619284338824,-47.38740999652929
0ade5cc4a305ed7093a23f68ca47519c,-25.483878697680183,-49.272408707514224
fc59392d66ef99377e50356ee4f3b4e1,-12.979401136116152,-38.497417925350774
b18dc380845b24038cfc48006478f099,-23.689006218373414,-46.590933120828744
f22a247b79dd22ecd91dc8e3b2a1b07c,-23.492081988918006,-46.34993692750342
889009a0ed0bb52c87819941192931b8,-22.609897676638745,-48.79623698889815
ffc470761de7d0232558ba5e786e57b7,-23.46417836336766,-46.53933533349212
4c498c7345e89aebad651544829beca0,-23.57251800195737,-46.819952770036906
01bcc9d254a0143f0ce9791b960b2a47,-14.518474806651268,-49.14209708875239
f021c962aaba8ef6eb527a9c2c8394d1,-26.91187688025883,-48.65639411001171
024b564ae893ce8e9bfa02c10a401ece,-23.58355120189348,-46.53738366780584
a513150f33f99a06569e9cd5c4bb889b,-23.58097414309849,-46.61831033162644
c1dde11f12d05c478f5de2d7319ad3b2,-23.539657127270946,-46.6318842127058
02f5837340d7eb4f653d676c7256523a,-25.458880971712055,-49.28489400818676
7b98de631987e26dd6d803490c43a13c,-22.929383785209307,-53.13587259427024
f12ff17ad8bbf01ec5c33b17e506649b,-23.565561714195844,-46.58163873599627
a64e44665225d19dfc0277eeeaaccc57,-21.8742882795038,-51.84496960410871
